,Date,Open,High,Low,Close,Adj Close,Volume,Empresa
0,2021-01-19,127.779999,128.71000700000002,126.940002,127.83000200000001,127.046783,90757300,AAPL
1,2021-01-20,128.66000400000001,132.490005,128.550003,132.029999,131.221054,104319500,AAPL
2,2021-01-21,133.800003,139.669998,133.58999599999999,136.869995,136.03138700000002,120150900,AAPL
3,2021-01-22,136.279999,139.850006,135.020004,139.070007,138.217926,114459400,AAPL
4,2021-01-25,143.070007,145.08999599999999,136.53999299999998,142.919998,142.044327,157611700,AAPL
5,2021-01-26,143.600006,144.300003,141.369995,143.16000400000001,142.282852,98390600,AAPL
6,2021-01-27,143.429993,144.300003,140.41000400000001,142.059998,141.18958999999998,140843800,AAPL
7,2021-01-28,139.520004,141.990005,136.699997,137.08999599999999,136.250046,142621100,AAPL
8,2021-01-29,135.830002,136.740005,130.21000700000002,131.96000700000002,131.151489,177523800,AAPL
9,2021-02-01,133.75,135.380005,130.929993,134.139999,133.31813,106239800,AAPL
10,2021-02-02,135.729996,136.309998,134.610001,134.990005,134.162903,83305400,AAPL
11,2021-02-03,135.759995,135.770004,133.610001,133.940002,133.119339,89880900,AAPL
12,2021-02-04,136.300003,137.399994,134.58999599999999,137.389999,136.548218,84183100,AAPL
13,2021-02-05,137.350006,137.419998,135.860001,136.759995,136.125168,75693800,AAPL
14,2021-02-08,136.029999,136.96000700000002,134.919998,136.91000400000001,136.274475,71297200,AAPL
15,2021-02-09,136.619995,137.880005,135.850006,136.009995,135.37866200000002,76774200,AAPL
16,2021-02-10,136.479996,136.990005,134.399994,135.389999,134.761536,73046600,AAPL
17,2021-02-11,135.899994,136.389999,133.770004,135.130005,134.502747,64280000,AAPL
18,2021-02-12,134.350006,135.529999,133.690002,135.369995,134.741623,60145100,AAPL
19,2021-02-16,135.490005,136.009995,132.78999299999998,133.190002,132.571747,80576300,AAPL
20,2021-02-17,131.25,132.220001,129.470001,130.83999599999999,130.232666,97918500,AAPL
21,2021-02-18,129.199997,130.0,127.410004,129.71000700000002,129.10791,96856700,AAPL
22,2021-02-19,130.240005,130.71000700000002,128.800003,129.869995,129.267151,87668800,AAPL
23,2021-02-22,128.009995,129.720001,125.599998,126.0,125.415123,103916400,AAPL
24,2021-02-23,123.760002,126.709999,118.389999,125.860001,125.27578000000001,158273000,AAPL
25,2021-02-24,124.940002,125.559998,122.230003,125.349998,124.76813500000002,111039900,AAPL
26,2021-02-25,124.68,126.459999,120.540001,120.989998,120.428375,148199500,AAPL
27,2021-02-26,122.589996,124.849998,121.199997,121.260002,120.697128,164560400,AAPL
28,2021-03-01,123.75,127.93,122.790001,127.790001,127.19681499999999,116307900,AAPL
29,2021-03-02,128.41000400000001,128.720001,125.010002,125.120003,124.539207,102260900,AAPL
30,2021-03-03,124.809998,125.709999,121.839996,122.059998,121.493416,112966300,AAPL
31,2021-03-04,121.75,123.599998,118.620003,120.129997,119.572372,178155000,AAPL
32,2021-03-05,120.980003,121.940002,117.57,121.41999799999999,120.856384,153766600,AAPL
33,2021-03-08,120.93,121.0,116.209999,116.360001,115.81987,154376600,AAPL
34,2021-03-09,119.029999,122.059998,118.790001,121.089996,120.52791599999999,129525800,AAPL
35,2021-03-10,121.690002,122.16999799999999,119.449997,119.980003,119.423073,111943300,AAPL
36,2021-03-11,122.540001,123.209999,121.260002,121.959999,121.393875,103026500,AAPL
37,2021-03-12,120.400002,121.16999799999999,119.160004,121.029999,120.468193,88105100,AAPL
38,2021-03-15,121.410004,124.0,120.41999799999999,123.989998,123.41445900000001,92403800,AAPL
39,2021-03-16,125.699997,127.220001,124.720001,125.57,124.98711399999999,115227900,AAPL
40,2021-03-17,124.050003,125.860001,122.339996,124.760002,124.180885,111932600,AAPL
41,2021-03-18,122.879997,123.18,120.32,120.529999,119.97051200000001,121229700,AAPL
42,2021-03-19,119.900002,121.43,119.68,119.989998,119.433022,185549500,AAPL
43,2021-03-22,120.33000200000001,123.870003,120.260002,123.389999,122.817245,111912300,AAPL
44,2021-03-23,123.33000200000001,124.239998,122.139999,122.540001,121.97119099999999,95467100,AAPL
45,2021-03-24,122.82,122.900002,120.07,120.089996,119.532555,88530500,AAPL
46,2021-03-25,119.540001,121.660004,119.0,120.589996,120.03022800000001,98844700,AAPL
47,2021-03-26,120.349998,121.480003,118.91999799999999,121.209999,120.64736200000002,94071200,AAPL
48,2021-03-29,121.650002,122.58000200000001,120.730003,121.389999,120.82653,80819200,AAPL
49,2021-03-30,120.110001,120.400002,118.860001,119.900002,119.34344499999999,85671900,AAPL
50,2021-03-31,121.650002,123.519997,121.150002,122.150002,121.58299299999999,118323800,AAPL
51,2021-04-01,123.660004,124.18,122.489998,123.0,122.42905400000001,75089100,AAPL
52,2021-04-05,123.870003,126.160004,123.07,125.900002,125.31558999999999,88651200,AAPL
53,2021-04-06,126.5,127.129997,125.650002,126.209999,125.624153,80171300,AAPL
54,2021-04-07,125.83000200000001,127.91999799999999,125.139999,127.900002,127.30630500000001,83466700,AAPL
55,2021-04-08,128.949997,130.389999,128.520004,130.360001,129.754898,88844600,AAPL
56,2021-04-09,129.800003,133.03999299999998,129.470001,133.0,132.382614,106686700,AAPL
57,2021-04-12,132.520004,132.850006,130.630005,131.240005,130.630814,91420000,AAPL
58,2021-04-13,132.440002,134.66000400000001,131.929993,134.429993,133.805984,91266500,AAPL
59,2021-04-14,134.940002,135.0,131.66000400000001,132.029999,131.41713000000001,87222800,AAPL
60,2021-04-15,133.820007,135.0,133.639999,134.5,133.875656,89347100,AAPL
61,2021-04-16,134.300003,134.669998,133.279999,134.16000400000001,133.537262,84922400,AAPL
62,2021-04-19,133.509995,135.470001,133.33999599999999,134.83999599999999,134.21409599999998,94264200,AAPL
63,2021-04-20,135.020004,135.529999,131.809998,133.110001,132.492126,94812300,AAPL
64,2021-04-21,132.360001,133.75,131.300003,133.5,132.88031,68847100,AAPL
65,2021-04-22,133.03999299999998,134.149994,131.41000400000001,131.940002,131.32756,84566500,AAPL
66,2021-04-23,132.16000400000001,135.119995,132.16000400000001,134.320007,133.696503,78657500,AAPL
67,2021-04-26,134.830002,135.059998,133.559998,134.720001,134.09465,66905100,AAPL
68,2021-04-27,135.009995,135.41000400000001,134.110001,134.389999,133.766174,66015800,AAPL
69,2021-04-28,134.309998,135.020004,133.080002,133.580002,132.959946,107760100,AAPL
70,2021-04-29,136.470001,137.070007,132.449997,133.479996,132.860397,151101000,AAPL
71,2021-04-30,131.779999,133.559998,131.070007,131.46000700000002,130.84979199999998,109839500,AAPL
72,2021-05-03,132.03999299999998,134.070007,131.830002,132.53999299999998,131.924744,75135100,AAPL
73,2021-05-04,131.190002,131.490005,126.699997,127.849998,127.25653799999999,137564700,AAPL
